movie_id;features
122908;424,92,0.34,0.66,0.36,0.27,0.23,0.09,0.06,264989,893,0.035
122910;20,2,0.37,0.63,0.36,0.24,0.2,0.13,0.07,4600,1049,0.01
122912;1,0,0.26,0.74,0.62,0.13,0.13,0.08,0.03,925,564,0.016
122914;135,77,0.2,0.8,0.65,0.17,0.13,0.03,0.03,32792,833,0.033
135426;168,62,0.41,0.59,0.29,0.25,0.2,0.13,0.13,23850,699,0.022
143345;2,1,0.39,0.61,0.27,0.36,0.11,0.15,0.11,2450,938,0.013
143347;2,0,0.4,0.6,0.23,0.34,0.23,0.1,0.09,29045,4470,0.023
182369;117,9,0.41,0.59,0.31,0.25,0.15,0.16,0.14,3811,1789,0.02
182715;161,60,0.4,0.6,0.31,0.27,0.2,0.12,0.1,10216,2599,0.057
182835;83,25,0.47,0.53,0.24,0.26,0.16,0.1,0.23,7858,1492,0.081
183011;255,45,0.39,0.61,0.3,0.26,0.23,0.13,0.08,25473,1750,0.053
183055;109,33,0.42,0.58,0.28,0.22,0.23,0.14,0.13,14550,2899,0.051
183155;3074,699,0.45,0.55,0.25,0.22,0.18,0.18,0.18,97769,1353,0.117
183157;1,0,0.48,0.52,0.25,0.2,0.23,0.13,0.2,4951,1334,0.0
183161;2,1,0.38,0.62,0.3,0.32,0.14,0.16,0.08,1458,997,0.0
183295;148,46,0.5,0.5,0.17,0.2,0.22,0.28,0.12,3136,1197,0.01
183309;2329,511,0.53,0.47,0.17,0.2,0.15,0.27,0.21,9342,2308,0.0
183353;9,3,0.44,0.56,0.19,0.36,0.18,0.12,0.16,7614,2540,0.043
183413;141,29,0.36,0.64,0.32,0.3,0.2,0.12,0.07,164169,2445,0.093
183419;282,50,0.35,0.65,0.33,0.3,0.23,0.08,0.07,179718,3208,0.158
183421;699,115,0.46,0.54,0.21,0.28,0.18,0.18,0.15,21216,2068,0.038
183455;10,2,0.75,0.25,0.03,0.08,0.16,0.21,0.52,2623,1102,0.011
183457;1,1,0.3,0.7,0.35,0.41,0.12,0.07,0.05,3335,2848,0.0
183475;1,0,0.65,0.35,0.08,0.13,0.21,0.19,0.38,58295,1721,0.063
183497;46,7,0.47,0.53,0.23,0.24,0.23,0.13,0.18,8012,1138,0.059
183507;755,286,0.43,0.57,0.29,0.26,0.09,0.19,0.17,3306,1144,0.0
183515;3598,420,0.5,0.5,0.17,0.22,0.22,0.22,0.17,1348693,7489,0.137
183589;1,0,0.57,0.43,0.1,0.16,0.34,0.1,0.3,7647,1524,0.02
183591;127,33,0.44,0.56,0.22,0.21,0.32,0.18,0.07,87881,4046,0.11
183611;267,55,0.56,0.44,0.13,0.16,0.21,0.25,0.24,31616,1107,0.097
183613;8,1,0.46,0.54,0.25,0.16,0.31,0.17,0.12,6052,1304,0.095
183619;2208,562,0.34,0.66,0.29,0.34,0.24,0.08,0.05,674968,2261,0.096
183635;2,0,0.18,0.82,0.65,0.23,0.08,0.02,0.02,926,753,0.0
183701;32,7,0.62,0.38,0.13,0.09,0.23,0.19,0.36,8834,2073,0.023
183703;4818,1016,0.57,0.43,0.19,0.16,0.2,0.1,0.35,151728,1137,0.011
183803;1,1,0.48,0.52,0.22,0.24,0.24,0.16,0.14,1308,992,0.0
183815;2,1,0.55,0.45,0.1,0.25,0.19,0.25,0.22,5466,441,0.043
183827;87,9,0.4,0.6,0.38,0.17,0.18,0.1,0.16,39870,8190,0.062
183829;151,35,0.42,0.58,0.24,0.34,0.19,0.12,0.12,7708,837,0.036
183833;595,149,0.34,0.66,0.4,0.22,0.17,0.15,0.06,275149,866,0.039
183843;91,29,0.49,0.51,0.24,0.14,0.25,0.21,0.16,102737,1606,0.061
183847;3,0,0.42,0.58,0.26,0.23,0.26,0.14,0.11,7024,1488,0.031
183865;1,0,0.32,0.68,0.5,0.2,0.13,0.03,0.14,2857,1718,0.0
183869;103,41,0.34,0.66,0.36,0.28,0.2,0.12,0.04,15388,1197,0.032
183897;3,2,0.34,0.66,0.4,0.23,0.18,0.11,0.07,5417,1144,0.023
183907;96,26,0.56,0.44,0.14,0.19,0.23,0.18,0.27,6868,1669,0.072
183909;8,4,0.32,0.68,0.41,0.25,0.2,0.09,0.05,37330,2452,0.082
183911;429,127,0.4,0.6,0.22,0.27,0.33,0.06,0.12,51334,920,0.046
183915;27,4,0.5,0.5,0.18,0.23,0.18,0.25,0.17,68301,1228,0.029
183959;1,0,0.48,0.52,0.26,0.22,0.15,0.17,0.2,1147,725,0.012
184015;113,85,0.37,0.63,0.34,0.23,0.26,0.09,0.08,3258,793,0.0
184017;3,1,0.33,0.67,0.39,0.3,0.15,0.11,0.06,5593,1073,0.01
184023;13,1,0.44,0.56,0.28,0.18,0.23,0.24,0.08,8182,1198,0.011
184025;20,2,0.46,0.54,0.23,0.26,0.19,0.16,0.17,9269,997,0.016
184041;83,38,0.5,0.5,0.18,0.16,0.27,0.27,0.12,112665,6351,0.048
184043;964,249,0.23,0.77,0.56,0.23,0.13,0.05,0.03,32410,1075,0.009
184069;210,117,0.25,0.75,0.56,0.21,0.14,0.07,0.03,54193,2010,0.029
184085;383,65,0.37,0.63,0.34,0.23,0.22,0.14,0.08,10780,1214,0.022
184089;4,1,0.43,0.57,0.25,0.25,0.25,0.16,0.11,15082,3298,0.084
184095;46,8,0.4,0.6,0.27,0.3,0.19,0.13,0.11,39775,4374,0.011
184099;141,45,0.37,0.63,0.34,0.27,0.17,0.12,0.09,88343,3232,0.068
184107;72,16,0.42,0.58,0.18,0.4,0.19,0.13,0.1,12177,946,0.034
184119;120,13,0.41,0.59,0.36,0.21,0.15,0.1,0.18,42460,1227,0.074
184133;2,1,0.46,0.54,0.21,0.27,0.2,0.2,0.11,3891,2091,0.008
184165;27,7,0.35,0.65,0.35,0.27,0.2,0.1,0.08,10220,747,0.076
184189;36,5,0.4,0.6,0.36,0.21,0.18,0.11,0.13,5285,1228,0.044
184239;1,0,0.35,0.65,0.33,0.29,0.16,0.16,0.06,3874,2726,0.012
184249;0,0,0.49,0.51,0.08,0.33,0.25,0.17,0.17,3453,2098,0.0
184253;17,8,0.36,0.64,0.29,0.32,0.28,0.02,0.1,38014,1313,0.049
184265;43,15,0.31,0.69,0.38,0.28,0.22,0.08,0.03,71360,2337,0.048
184289;259,181,0.49,0.51,0.3,0.13,0.17,0.24,0.17,20750,670,0.016
184291;59,20,0.38,0.62,0.32,0.21,0.27,0.11,0.09,22135,4808,0.053
184315;5,1,0.3,0.7,0.43,0.27,0.24,0.03,0.03,71757,1449,0.061
184399;166,32,0.48,0.52,0.22,0.18,0.24,0.15,0.2,14313,1185,0.082
184401;597,73,0.41,0.59,0.29,0.27,0.23,0.08,0.12,5899,1687,0.021
184461;0,0,0.3,0.7,0.32,0.45,0.12,0.09,0.02,10358,5429,0.013
184469;88,24,0.5,0.5,0.21,0.17,0.24,0.21,0.17,22021,1063,0.056
184471;7,1,0.41,0.59,0.26,0.3,0.2,0.13,0.11,4571,877,0.031
184473;1,0,0.56,0.44,0.16,0.16,0.2,0.23,0.26,1555,1210,0.016
184493;2126,437,0.39,0.61,0.24,0.31,0.22,0.15,0.08,33541,3111,0.058
184501;12,1,0.44,0.56,0.26,0.26,0.19,0.15,0.14,5215,2141,0.0
