likes,retweets,pos_score,neg_score,vn_lable,n_lable,nu_lable,p_lable,vp_lable,followers,followings,verifies,ratings
424,92,0.34,0.66,0.36,0.27,0.23,0.09,0.06,264989,893,0.035,0
20,2,0.37,0.63,0.36,0.24,0.2,0.13,0.07,4600,1049,0.01,1
1,0,0.26,0.74,0.62,0.13,0.13,0.08,0.03,925,564,0.016,1
135,77,0.2,0.8,0.65,0.17,0.13,0.03,0.03,32792,833,0.033,1
168,62,0.41,0.59,0.29,0.25,0.2,0.13,0.13,23850,699,0.022,1
2,1,0.39,0.61,0.27,0.36,0.11,0.15,0.11,2450,938,0.013,1
2,0,0.4,0.6,0.23,0.34,0.23,0.1,0.09,29045,4470,0.023,1
117,9,0.41,0.59,0.31,0.25,0.15,0.16,0.14,3811,1789,0.02,0
161,60,0.4,0.6,0.31,0.27,0.2,0.12,0.1,10216,2599,0.057,1
83,25,0.47,0.53,0.24,0.26,0.16,0.1,0.23,7858,1492,0.081,0
255,45,0.39,0.61,0.3,0.26,0.23,0.13,0.08,25473,1750,0.053,1
109,33,0.42,0.58,0.28,0.22,0.23,0.14,0.13,14550,2899,0.051,0
3074,699,0.45,0.55,0.25,0.22,0.18,0.18,0.18,97769,1353,0.117,0
1,0,0.48,0.52,0.25,0.2,0.23,0.13,0.2,4951,1334,0.0,0
2,1,0.38,0.62,0.3,0.32,0.14,0.16,0.08,1458,997,0.0,0
148,46,0.5,0.5,0.17,0.2,0.22,0.28,0.12,3136,1197,0.01,0
2329,511,0.53,0.47,0.17,0.2,0.15,0.27,0.21,9342,2308,0.0,0
9,3,0.44,0.56,0.19,0.36,0.18,0.12,0.16,7614,2540,0.043,0
141,29,0.36,0.64,0.32,0.3,0.2,0.12,0.07,164169,2445,0.093,0
282,50,0.35,0.65,0.33,0.3,0.23,0.08,0.07,179718,3208,0.158,0
699,115,0.46,0.54,0.21,0.28,0.18,0.18,0.15,21216,2068,0.038,0
10,2,0.75,0.25,0.03,0.08,0.16,0.21,0.52,2623,1102,0.011,0
1,1,0.3,0.7,0.35,0.41,0.12,0.07,0.05,3335,2848,0.0,0
1,0,0.65,0.35,0.08,0.13,0.21,0.19,0.38,58295,1721,0.063,0
46,7,0.47,0.53,0.23,0.24,0.23,0.13,0.18,8012,1138,0.059,0
755,286,0.43,0.57,0.29,0.26,0.09,0.19,0.17,3306,1144,0.0,0
3598,420,0.5,0.5,0.17,0.22,0.22,0.22,0.17,1348693,7489,0.137,0
1,0,0.57,0.43,0.1,0.16,0.34,0.1,0.3,7647,1524,0.02,0
127,33,0.44,0.56,0.22,0.21,0.32,0.18,0.07,87881,4046,0.11,0
267,55,0.56,0.44,0.13,0.16,0.21,0.25,0.24,31616,1107,0.097,1
8,1,0.46,0.54,0.25,0.16,0.31,0.17,0.12,6052,1304,0.095,1
2208,562,0.34,0.66,0.29,0.34,0.24,0.08,0.05,674968,2261,0.096,0
2,0,0.18,0.82,0.65,0.23,0.08,0.02,0.02,926,753,0.0,1
32,7,0.62,0.38,0.13,0.09,0.23,0.19,0.36,8834,2073,0.023,1
4818,1016,0.57,0.43,0.19,0.16,0.2,0.1,0.35,151728,1137,0.011,0
1,1,0.48,0.52,0.22,0.24,0.24,0.16,0.14,1308,992,0.0,0
